Design Name,SKU,Source ZIP,Source Image,Role,Sequence,Original Storage Path,Thumbnail Storage Path,Local Thumbnail
ADIGE CREMA,VIT-60120-8.50-GLO-MAR-WHIT-066,glossy 1.zip,glossy 1/ADIGE CREMA/ADIGE CREMA_R1.jpg,room,1,products/glossy/vit-60120-8-50-glo-mar-whit-066/originals/ADIGE CREMA_R1.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-066/thumbnails/adige-crema-r1.webp,thumbnails/vit-60120-8-50-glo-mar-whit-066/adige-crema-r1.webp
ADIGE CREMA,VIT-60120-8.50-GLO-MAR-WHIT-066,glossy 1.zip,glossy 1/ADIGE CREMA/ADIGE CREMA_R2.jpg,room,2,products/glossy/vit-60120-8-50-glo-mar-whit-066/originals/ADIGE CREMA_R2.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-066/thumbnails/adige-crema-r2.webp,thumbnails/vit-60120-8-50-glo-mar-whit-066/adige-crema-r2.webp
ADIGE CREMA,VIT-60120-8.50-GLO-MAR-WHIT-066,glossy 1.zip,glossy 1/ADIGE CREMA/ADIGE CREMA_R3.jpg,room,3,products/glossy/vit-60120-8-50-glo-mar-whit-066/originals/ADIGE CREMA_R3.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-066/thumbnails/adige-crema-r3.webp,thumbnails/vit-60120-8-50-glo-mar-whit-066/adige-crema-r3.webp
ADIGE CREMA,VIT-60120-8.50-GLO-MAR-WHIT-066,glossy 1.zip,glossy 1/ADIGE CREMA/ADIGE CREMA_R4.jpg,room,4,products/glossy/vit-60120-8-50-glo-mar-whit-066/originals/ADIGE CREMA_R4.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-066/thumbnails/adige-crema-r4.webp,thumbnails/vit-60120-8-50-glo-mar-whit-066/adige-crema-r4.webp
ADIGE GREY,VIT-60120-8.50-GLO-MAR-WHIT-067,glossy 1.zip,glossy 1/ADIGE GREY/ADIGE GREY_R1.jpg,room,1,products/glossy/vit-60120-8-50-glo-mar-whit-067/originals/ADIGE GREY_R1.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-067/thumbnails/adige-grey-r1.webp,thumbnails/vit-60120-8-50-glo-mar-whit-067/adige-grey-r1.webp
ADIGE GREY,VIT-60120-8.50-GLO-MAR-WHIT-067,glossy 1.zip,glossy 1/ADIGE GREY/ADIGE GREY_R2.jpg,room,2,products/glossy/vit-60120-8-50-glo-mar-whit-067/originals/ADIGE GREY_R2.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-067/thumbnails/adige-grey-r2.webp,thumbnails/vit-60120-8-50-glo-mar-whit-067/adige-grey-r2.webp
ADIGE GREY,VIT-60120-8.50-GLO-MAR-WHIT-067,glossy 1.zip,glossy 1/ADIGE GREY/ADIGE GREY_R3.jpg,room,3,products/glossy/vit-60120-8-50-glo-mar-whit-067/originals/ADIGE GREY_R3.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-067/thumbnails/adige-grey-r3.webp,thumbnails/vit-60120-8-50-glo-mar-whit-067/adige-grey-r3.webp
ADIGE GREY,VIT-60120-8.50-GLO-MAR-WHIT-067,glossy 1.zip,glossy 1/ADIGE GREY/ADIGE GREY_R4.jpg,room,4,products/glossy/vit-60120-8-50-glo-mar-whit-067/originals/ADIGE GREY_R4.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-067/thumbnails/adige-grey-r4.webp,thumbnails/vit-60120-8-50-glo-mar-whit-067/adige-grey-r4.webp
ADIGE LUREL,VIT-60120-8.50-GLO-MAR-WHIT-068,glossy 1.zip,glossy 1/ADIGE LUREL/ADIGE LUREL_R1.jpg,room,1,products/glossy/vit-60120-8-50-glo-mar-whit-068/originals/ADIGE LUREL_R1.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-068/thumbnails/adige-lurel-r1.webp,thumbnails/vit-60120-8-50-glo-mar-whit-068/adige-lurel-r1.webp
ADIGE LUREL,VIT-60120-8.50-GLO-MAR-WHIT-068,glossy 1.zip,glossy 1/ADIGE LUREL/ADIGE LUREL_R2.jpg,room,2,products/glossy/vit-60120-8-50-glo-mar-whit-068/originals/ADIGE LUREL_R2.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-068/thumbnails/adige-lurel-r2.webp,thumbnails/vit-60120-8-50-glo-mar-whit-068/adige-lurel-r2.webp
ADIGE LUREL,VIT-60120-8.50-GLO-MAR-WHIT-068,glossy 1.zip,glossy 1/ADIGE LUREL/ADIGE LUREL_R3.jpg,room,3,products/glossy/vit-60120-8-50-glo-mar-whit-068/originals/ADIGE LUREL_R3.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-068/thumbnails/adige-lurel-r3.webp,thumbnails/vit-60120-8-50-glo-mar-whit-068/adige-lurel-r3.webp
ADIGE LUREL,VIT-60120-8.50-GLO-MAR-WHIT-068,glossy 1.zip,glossy 1/ADIGE LUREL/ADIGE LUREL_R4.jpg,room,4,products/glossy/vit-60120-8-50-glo-mar-whit-068/originals/ADIGE LUREL_R4.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-068/thumbnails/adige-lurel-r4.webp,thumbnails/vit-60120-8-50-glo-mar-whit-068/adige-lurel-r4.webp
ADIGE MINK,VIT-60120-8.50-GLO-MAR-WHIT-069,glossy 1.zip,glossy 1/ADIGE MINK/ADIGE MINK_R1.jpg,room,1,products/glossy/vit-60120-8-50-glo-mar-whit-069/originals/ADIGE MINK_R1.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-069/thumbnails/adige-mink-r1.webp,thumbnails/vit-60120-8-50-glo-mar-whit-069/adige-mink-r1.webp
ADIGE MINK,VIT-60120-8.50-GLO-MAR-WHIT-069,glossy 1.zip,glossy 1/ADIGE MINK/ADIGE MINK_R2.jpg,room,2,products/glossy/vit-60120-8-50-glo-mar-whit-069/originals/ADIGE MINK_R2.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-069/thumbnails/adige-mink-r2.webp,thumbnails/vit-60120-8-50-glo-mar-whit-069/adige-mink-r2.webp
ADIGE MINK,VIT-60120-8.50-GLO-MAR-WHIT-069,glossy 1.zip,glossy 1/ADIGE MINK/ADIGE MINK_R3.jpg,room,3,products/glossy/vit-60120-8-50-glo-mar-whit-069/originals/ADIGE MINK_R3.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-069/thumbnails/adige-mink-r3.webp,thumbnails/vit-60120-8-50-glo-mar-whit-069/adige-mink-r3.webp
ADIGE MINK,VIT-60120-8.50-GLO-MAR-WHIT-069,glossy 1.zip,glossy 1/ADIGE MINK/ADIGE MINK_R4.jpg,room,4,products/glossy/vit-60120-8-50-glo-mar-whit-069/originals/ADIGE MINK_R4.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-069/thumbnails/adige-mink-r4.webp,thumbnails/vit-60120-8-50-glo-mar-whit-069/adige-mink-r4.webp
ALBANION BROWN,VIT-60120-8.50-GLO-MAR-WHIT-070,glossy 1.zip,glossy 1/ALBANION BROWN/ALBANION BROWN_R1.jpg,room,1,products/glossy/vit-60120-8-50-glo-mar-whit-070/originals/ALBANION BROWN_R1.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-070/thumbnails/albanion-brown-r1.webp,thumbnails/vit-60120-8-50-glo-mar-whit-070/albanion-brown-r1.webp
ALBANION BROWN,VIT-60120-8.50-GLO-MAR-WHIT-070,glossy 1.zip,glossy 1/ALBANION BROWN/ALBANION_BROWN_R2.jpg,room,2,products/glossy/vit-60120-8-50-glo-mar-whit-070/originals/ALBANION_BROWN_R2.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-070/thumbnails/albanion-brown-r2.webp,thumbnails/vit-60120-8-50-glo-mar-whit-070/albanion-brown-r2.webp
ALBANION BROWN,VIT-60120-8.50-GLO-MAR-WHIT-070,glossy 1.zip,glossy 1/ALBANION BROWN/ALBANION_BROWN_R3.jpg,room,3,products/glossy/vit-60120-8-50-glo-mar-whit-070/originals/ALBANION_BROWN_R3.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-070/thumbnails/albanion-brown-r3.webp,thumbnails/vit-60120-8-50-glo-mar-whit-070/albanion-brown-r3.webp
ALBANION BROWN,VIT-60120-8.50-GLO-MAR-WHIT-070,glossy 1.zip,glossy 1/ALBANION BROWN/ALBANION_BROWN_R4.jpg,room,4,products/glossy/vit-60120-8-50-glo-mar-whit-070/originals/ALBANION_BROWN_R4.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-070/thumbnails/albanion-brown-r4.webp,thumbnails/vit-60120-8-50-glo-mar-whit-070/albanion-brown-r4.webp
ALBANION BROWN,VIT-60120-8.50-GLO-MAR-WHIT-070,glossy 1.zip,glossy 1/ALBANION BROWN/ALBANION_BROWN_R5.jpg,room,5,products/glossy/vit-60120-8-50-glo-mar-whit-070/originals/ALBANION_BROWN_R5.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-070/thumbnails/albanion-brown-r5.webp,thumbnails/vit-60120-8-50-glo-mar-whit-070/albanion-brown-r5.webp
ALBANION CREMA,VIT-60120-8.50-GLO-MAR-WHIT-071,glossy 1.zip,glossy 1/ALBANION CREMA/ALBANION CREMA_R1.jpg,room,1,products/glossy/vit-60120-8-50-glo-mar-whit-071/originals/ALBANION CREMA_R1.jpg,products/glossy/vit-60120-8-50-glo-mar-whit-071/thumbnails/albanion-crema-r1.webp,thumbnails/vit-60120-8-50-glo-mar-whit-071/albanion-crema-r1.webp
